Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time
2,0.4707456008315468,0.45973141563053316,0.8646611526147279,0.8719951923076923,8.670360565185547
3,0.41585944224001886,0.4080467827809163,0.8818536552828175,0.8865184294871795,8.595321893692017
4,0.375224794353594,0.3696600901774871,0.8937266542155816,0.9005408653846154,8.608998775482178
5,0.3439980077387302,0.34527011975072897,0.9019643810032018,0.907051282051282,8.558358669281006
6,0.32284175301628665,0.32916585298684925,0.9082177161152615,0.9115584935897436,8.63241696357727
7,0.3079505821206908,0.32610946888916004,0.9107023745997865,0.9119591346153846,8.540209293365479
8,0.2955597904664857,0.3161156138357444,0.9132537353255069,0.9138621794871795,8.526468753814697
9,0.28764157925147005,0.31376904222923213,0.9160052027748132,0.9134615384615384,8.515661001205444
Mean,,,,,8.585627794265747
Params: 11985,,,,,
---,---,---,---,---,---
