Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time,,
2,0.245350568182568,0.233354623250377,0.928395144076841,0.94160657051282,8.77819871902466,,
3,0.218444409737465,0.212585766477367,0.936182630736393,0.944811698717949,8.53262042999268,,
4,0.201775095935438,0.197272412353553,0.940951840981857,0.948918269230769,8.67770648002625,,
5,0.18941759592441,0.19419243464318,0.944987326574173,0.947916666666667,8.59226202964783,,
6,0.1795776213401,0.186699844729633,0.947488660618997,0.951221955128205,8.98113512992859,,
7,0.17196195613565,0.183627189644493,0.949406350053362,0.952824519230769,9.09194207191467,,
8,0.1649417615433,0.179828989423979,0.951857657417289,0.953926282051282,9.2751886844635,,
9,0.160646607013958,0.17482332215728,0.95255803094984,0.954627403846154,9.05380463600159,,
Mean,,,,,8.87129964828491,,
Params: 6180,,,,,,,
---,---,---,---,---,---,,
0,1.04851670122706,0.504309390886472,0.702491328708645,0.87510016025641,9.00455951690674,,"14*14, 5, 10"
1,0.438107548013186,0.377437544079163,0.880219450373533,0.903846153846154,8.84728193283081,,
2,0.363034184278648,0.339744726769053,0.89829575773746,0.912560096153846,8.85246992111206,,
3,0.328820314357731,0.315572105622731,0.906466782283885,0.917167467948718,9.01613616943359,,
4,0.30664524201427,0.306060747589725,0.912536686232657,0.919571314102564,8.68032288551331,,
5,0.291759714444457,0.30872297543698,0.915888473852721,0.918669871794872,8.61294388771057,,
6,0.28100621492752,0.292044978230619,0.919256937033084,0.923277243589744,8.96420955657959,,
7,0.270543842863693,0.277830758824562,0.922041755602988,0.928986378205128,9.01541376113892,,
8,0.262738601899961,0.281847959635063,0.924643143009605,0.928485576923077,8.85782957077026,,
9,0.256803336725227,0.26582579776788,0.926193970117396,0.931490384615385,8.68957471847534,,
Mean,,,,,8.85407419204712,,
Params: 3090,,,,,,,
---,---,---,---,---,---,,
0,0.827687584316972,0.352854721582471,0.737309898612593,0.907251602564103,9.81037759780884,,"14*14, 10, 10, 10"
1,0.313543648394411,0.265716897383428,0.910535618996798,0.929286858974359,9.92473936080933,,
2,0.251997890656569,0.240910977250538,0.92671091248666,0.936598557692308,9.62578654289246,,
3,0.221104860158683,0.211423526428497,0.934931963713981,0.944511217948718,9.8568971157074,,
4,0.201644421768799,0.205611281299916,0.940718383137673,0.946213942307692,9.81411337852478,,
5,0.188174559968338,0.194807008213292,0.945137406616862,0.949018429487179,9.96495366096497,,
6,0.17690594814193,0.184724812195875,0.947705442902882,0.952223557692308,9.47258877754211,,
7,0.167585527373273,0.176974567665289,0.951040554962647,0.955929487179487,10.0503041744232,,
8,0.159427243281899,0.177572908112779,0.953308431163287,0.954627403846154,9.92963099479675,,
9,0.152203988007557,0.178038916449086,0.955376200640342,0.954627403846154,9.79673647880554,,
Mean,,,,,9.82461280822754,,
Params: 6480,,,,,,,
---,---,---,---,---,---,,
0,1.26323781855078,0.616568068185678,0.58878068303095,0.829126602564103,9.46659469604492,,"14*14, 5, 5, 10"
1,0.516966888082702,0.440414515920939,0.85000333511206,0.876702724358974,9.48243355751038,,
2,0.416716659383942,0.38101998074219,0.878952107790822,0.89473157051282,9.5501914024353,,
3,0.373246576887503,0.351810061838478,0.890958511205976,0.905448717948718,9.47834324836731,,
4,0.341355388986072,0.32970832912729,0.900446905016008,0.909054487179487,9.42974948883057,,
5,0.316621523203374,0.306189252899434,0.906883671291355,0.916866987179487,9.773108959198,,
6,0.295996992515843,0.283900233761718,0.913887406616862,0.923477564102564,9.95429968833923,,
7,0.278899098075568,0.284353250219749,0.918923425827108,0.922275641025641,9.72332906723022,,
8,0.268405537801847,0.26706861746378,0.921641542155816,0.926482371794872,9.64877772331238,,
9,0.25830047824912,0.266660200909544,0.924126200640342,0.926983173076923,9.72290682792664,,
Mean,,,,,9.6229734659195,,
Params: 3165,,,,,,,
---,---,---,---,---,---,,
