Epoch,Loss (t),Loss (v),Accuracy (t),Accuracy (v),Time,,
2,0.26089013574631,0.248412273298853,0.926494130202775,0.937199519230769,8.66445374488831,,
3,0.228559158841822,0.223003480332689,0.935398879402348,0.942007211538462,8.56053400039673,,
4,0.208390468216661,0.218778965188763,0.939801227321238,0.942007211538462,8.45718502998352,,
5,0.194681164141637,0.217219310738027,0.944753868729989,0.943409455128205,8.62622141838074,,
6,0.183891905944798,0.208865587307045,0.947138473852721,0.945012019230769,8.65175175666809,,
7,0.174349449207189,0.206494965757697,0.95014007470651,0.944911858974359,8.36205220222473,,
8,0.166198928652604,0.206241179965078,0.953141675560299,0.945012019230769,8.83476710319519,,
9,0.159525551858061,0.221513150027022,0.9545424226254,0.940104166666667,8.35468125343323,,
Mean,,,,,8.56910421848297,,
Params: 24120,,,,,,,
---,---,---,---,---,---,,
0,1.10948063549263,0.702889061317994,0.642142475987193,0.778044871794872,8.59299921989441,,"28*28, 5, 5, 10"
1,0.586143713337126,0.509109404988778,0.824272945570971,0.855969551282051,8.53627443313599,,
2,0.461192020468549,0.43286898598457,0.866445437566702,0.876502403846154,8.54868698120117,,
3,0.400241952409357,0.391398683763467,0.883471184631804,0.892327724358974,8.57608723640442,,
4,0.362343869856862,0.36857843437256,0.895427561366062,0.897235576923077,8.55065321922302,,
5,0.339060104270182,0.349507114372383,0.902347918890075,0.905448717948718,8.41021728515625,,
6,0.324176798682966,0.349615436859238,0.906216648879402,0.902844551282051,8.52208995819092,,
7,0.31083018167328,0.331910373213199,0.910618996798292,0.911758814102564,8.57698345184326,,
8,0.300902341042219,0.330455901662413,0.912770144076841,0.909254807692308,8.54713344573975,,
9,0.29432417330677,0.319296764985969,0.91505469583778,0.91396233974359,8.80863285064697,,
Mean,,,,,8.56697580814362,,
Params: 11985,,,,,,,
---,---,---,---,---,---,,
